match_id,toss_winner,toss_name,match_winner,match_outcome
598077,Rajasthan Royals,bat,Mumbai Indians,Lost
598078,Mumbai Indians,bat,Mumbai Indians,Won
729284,Kolkata Knight Riders,bat,Kolkata Knight Riders,Won
729286,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
729288,Chennai Super Kings,bat,Kings XI Punjab,Lost
729290,Rajasthan Royals,field,Rajasthan Royals,Won
729292,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
729294,Kolkata Knight Riders,bat,Delhi Daredevils,Lost
729296,Kings XI Punjab,field,Kings XI Punjab,Won
729298,Chennai Super Kings,bat,Chennai Super Kings,Won
729300,Sunrisers Hyderabad,field,Kings XI Punjab,Lost
729302,Rajasthan Royals,field,Chennai Super Kings,Lost
729304,Royal Challengers Bangalore,field,Kolkata Knight Riders,Lost
729306,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Won
729308,Mumbai Indians,bat,Chennai Super Kings,Lost
729310,Rajasthan Royals,field,Rajasthan Royals,Won
729312,Kolkata Knight Riders,field,Kings XI Punjab,Lost
729314,Mumbai Indians,bat,Delhi Daredevils,Lost
729316,Sunrisers Hyderabad,bat,Chennai Super Kings,Lost
729318,Kings XI Punjab,field,Kings XI Punjab,Won
729320,Rajasthan Royals,bat,Rajasthan Royals,Won
729322,Mumbai Indians,field,Sunrisers Hyderabad,Lost
733976,Chennai Super Kings,bat,Chennai Super Kings,Won
733978,Kings XI Punjab,bat,Mumbai Indians,Lost
733980,Rajasthan Royals,field,Rajasthan Royals,Won
733982,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
733984,Kolkata Knight Riders,field,Rajasthan Royals,Lost
733986,Chennai Super Kings,field,Chennai Super Kings,Won
733988,Royal Challengers Bangalore,field,Mumbai Indians,Lost
733990,Delhi Daredevils,bat,Kolkata Knight Riders,Lost
733992,Chennai Super Kings,field,Kings XI Punjab,Lost
733994,Rajasthan Royals,field,Sunrisers Hyderabad,Lost
733996,Royal Challengers Bangalore,field,Kings XI Punjab,Lost
733998,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Won
734000,Chennai Super Kings,field,Chennai Super Kings,Won
734002,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
734004,Royal Challengers Bangalore,bat,Rajasthan Royals,Lost
734006,Sunrisers Hyderabad,bat,Mumbai Indians,Lost
734008,Rajasthan Royals,bat,Chennai Super Kings,Lost
734010,Delhi Daredevils,field,Royal Challengers Bangalore,Lost
734012,Kings XI Punjab,field,Kings XI Punjab,Won
734014,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
734016,Delhi Daredevils,field,Rajasthan Royals,Lost
734018,Chennai Super Kings,bat,Royal Challengers Bangalore,Lost
734020,Sunrisers Hyderabad,bat,Kolkata Knight Riders,Lost
734022,Mumbai Indians,bat,Mumbai Indians,Won
734024,Kings XI Punjab,field,Kings XI Punjab,Won
734026,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,Lost
734028,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
734030,Mumbai Indians,field,Mumbai Indians,Won
734032,Royal Challengers Bangalore,field,Kolkata Knight Riders,Lost
734034,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Won
734036,Delhi Daredevils,field,Mumbai Indians,Lost
734038,Rajasthan Royals,field,Kings XI Punjab,Lost
734040,Chennai Super Kings,field,Chennai Super Kings,Won
734042,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
734044,Kings XI Punjab,field,Kings XI Punjab,Won
734046,Mumbai Indians,field,Mumbai Indians,Won
734048,Kings XI Punjab,field,Kolkata Knight Riders,Lost
734050,Chennai Super Kings,field,Chennai Super Kings,Won
734052,Chennai Super Kings,field,Kings XI Punjab,Lost
734054,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
829710,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
829712,Delhi Daredevils,field,Chennai Super Kings,Lost
829714,Kings XI Punjab,field,Rajasthan Royals,Lost
829716,Chennai Super Kings,bat,Chennai Super Kings,Won
829718,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
829720,Rajasthan Royals,field,Rajasthan Royals,Won
829722,Mumbai Indians,field,Kings XI Punjab,Lost
829724,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Won
